"","outcome","overall_prob_outcome","sd_outcome","num_subjects","num_samples","icc_data","icc_pred","shuffle_AUC random intercept only:","shuffle_Accuracy random intercept only:","shuffle_AUC:","shuffle_Accuracy:","shuffle_Mean AUC within-person:","shuffle_SD AUC within-person:","shuffle_% of AUC > 0.5 within-person:","shuffle_N included within-person:","real_AUC random intercept only:","real_Accuracy random intercept only:","real_AUC:","real_Accuracy:","real_Mean AUC within-person:","real_SD AUC within-person:","real_% of AUC > 0.5 within-person:","real_N included within-person:","centered_AUC random intercept only:","centered_Accuracy random intercept only:","centered_AUC:","centered_Accuracy:","centered_Mean AUC within-person:","centered_SD AUC within-person:","centered_% of AUC > 0.5 within-person:","centered_N included within-person:","subjectwise_AUC random intercept only:","subjectwise_Accuracy random intercept only:","subjectwise_AUC:","subjectwise_Accuracy:","subjectwise_Mean AUC within-person:","subjectwise_SD AUC within-person:","subjectwise_% of AUC > 0.5 within-person:","subjectwise_N included within-person:","movingwindow_AUC random intercept only:","movingwindow_Accuracy random intercept only:","movingwindow_AUC:","movingwindow_Accuracy:","movingwindow_Mean AUC within-person:","movingwindow_SD AUC within-person:","movingwindow_% of AUC > 0.5 within-person:","movingwindow_N included within-person:","movingwindow_Mean AUC random intercept only:","movingwindow_SD AUC within-person base:","movingwindow_% of AUC > 0.5 within-person base:","movingwindow_N included within-person base:","movingwindowshuffle_AUC random intercept only:","movingwindowshuffle_Accuracy random intercept only:","movingwindowshuffle_AUC:","movingwindowshuffle_Accuracy:","movingwindowshuffle_Mean AUC within-person:","movingwindowshuffle_SD AUC within-person:","movingwindowshuffle_% of AUC > 0.5 within-person:","movingwindowshuffle_N included within-person:","movingwindowshuffle_Mean AUC random intercept only:","movingwindowshuffle_SD AUC within-person base:","movingwindowshuffle_% of AUC > 0.5 within-person base:","movingwindowshuffle_N included within-person base:"
"1","wantedToFeel_pleasant",0.230954356846473,0.188005767840658,241,50,0.182490659725854,0.303153248599005,0.732436714110348,0.805759457933371,0.548894731797589,0.775832862789385,0.476741986353398,0.210951006995978,40.6862745098039,204,0.72770803966499,0.789384528514963,0.586277810809667,0.767363071710898,0.521338338143542,0.221611355260803,48.2587064676617,201,0.72770803966499,0.789384528514963,0.57687641545358,0.766516092603049,0.50581561058355,0.223029321917272,49.7512437810945,201,0,0,0.551543116335456,0.771825396825397,0.520628447330863,0.139228196969879,55.0724637681159,69,0.73441106301762,0.798022943617281,0.585276703248015,0.772394434952404,0.50691268843796,0.164843352518868,50,222,0.411986613890983,0.160029802137516,25.2252252252252,222,0.719018016645166,0.793141322919209,0.549838029663646,0.765682206492556,0.476137861298229,0.15878571398503,44.2477876106195,226,0.393637537791612,0.136779700411536,19.9115044247788,226
"2","wantedToFeel_control",0.183983402489627,0.168949893134152,241,50,0.173443555086953,0.303153248599005,0.754353584244215,0.824675324675325,0.579798932070506,0.809147374364766,0.525360033213719,0.215572841327308,54.8913043478261,184,0.751631127008725,0.830604178430265,0.609488504893116,0.816770186335404,0.544761388269498,0.236224166237905,56.020942408377,191,0.751631127008725,0.830604178430265,0.584634979939287,0.817617165443252,0.504665910702517,0.229103889600042,45.0261780104712,191,0,0,0.546827505270819,0.825680272108844,0.535027825414372,0.168612099869013,56.0606060606061,66,0.741683686546701,0.839272638515987,0.603762495372084,0.820600439345863,0.517768394273163,0.179520471650383,55.2884615384615,208,0.395038077062432,0.159664589099452,20.1923076923077,208,0.730295396611187,0.829509397119844,0.580096064737998,0.8129118867464,0.496079413990449,0.172794077801802,49.7716894977169,219,0.381949271310287,0.151555286127814,19.1780821917808,219
"3","wantedToFeel_goodAboutMe",0.160663900414938,0.178772361957108,241,50,0.221190003899469,0.303153248599005,0.781428496795765,0.858272162619989,0.589877345128634,0.836250705815923,0.516751041639169,0.235355291287665,47.8527607361963,163,0.777594733909167,0.856578204404291,0.602019190582335,0.83596837944664,0.511356218806894,0.235258338769934,50.8670520231214,173,0.777594733909167,0.856578204404291,0.63529592737067,0.840767927724449,0.510072908941144,0.242879082424488,43.9306358381503,173,0,0,0.568564261215041,0.852040816326531,0.543749035178124,0.166615226146172,56.3380281690141,71,0.769364726369916,0.866853795460093,0.610046921203334,0.845740785940932,0.529373758323239,0.195609776715681,55.5555555555556,207,0.354330223597317,0.175051995733908,20.2898550724638,207,0.75972337090589,0.85782279716866,0.570092374543092,0.839516719550891,0.473725984793557,0.197040670391286,49.0566037735849,212,0.376612413535747,0.163820461074594,17.4528301886792,212
"4","wantedToFeel_connected",0.13551867219917,0.154563365727123,241,50,0.187496879264251,0.303153248599005,0.762066127820992,0.87690570299266,0.589012659858464,0.864483342744212,0.519255375607273,0.24326223071189,50.6172839506173,162,0.767077814118557,0.870694522868436,0.616017225660484,0.8613777526821,0.556665425741857,0.223291118833177,57.3170731707317,164,0.767077814118557,0.870694522868436,0.633451282243143,0.860813099943535,0.512527196526096,0.243942394746727,47.5609756097561,164,0,0,0.584904355966976,0.877551020408163,0.560779631552201,0.179943020216511,64.4067796610169,59,0.764097358393642,0.884305589455699,0.620161022939074,0.872223578227972,0.530906243944331,0.204184667344272,58.1151832460733,191,0.395589225181461,0.181876530219101,28.2722513089005,191,0.733282807919747,0.877227239443495,0.596215411962795,0.863436660971443,0.498164479171063,0.185846098519766,49.0196078431373,204,0.368951603621282,0.17052626139224,17.6470588235294,204
"5","wantedToFeel_comfort",0.248547717842324,0.17719565106172,241,50,0.151013624025876,0.303153248599005,0.711822807732164,0.761998870694523,0.555497210924985,0.743365330321852,0.4959033995897,0.214997116667508,46.7889908256881,218,0.71027657665843,0.764257481648786,0.590664071481068,0.744776962168266,0.534309808009522,0.2009462834006,56.1320754716981,212,0.71027657665843,0.764257481648786,0.578051998408081,0.735742518351214,0.514104334145323,0.222762505593676,50,212,0,0,0.546913764841396,0.764739229024943,0.552856694353683,0.131698422049959,60.5633802816901,71,0.714511760644198,0.770563827190627,0.572772422424182,0.743958994386136,0.512374472841663,0.159505659390564,51.5151515151515,231,0.41306126536103,0.148946588960692,26.4069264069264,231,0.697908939360283,0.767146692701977,0.544641527029813,0.746399804735172,0.481669059144569,0.145848115093315,41.8103448275862,232,0.394923228519766,0.128896534317617,15.5172413793103,232
"6","wantedToFeel_calm",0.229875518672199,0.179760213728828,241,50,0.165705656737034,0.303153248599005,0.7262825416229,0.794748729531338,0.568957085134339,0.772162619988707,0.502959077719254,0.216892369711157,47.2906403940887,203,0.728634224141285,0.790796160361378,0.595079338135704,0.75974025974026,0.527352725813915,0.224651573971462,52.093023255814,215,0.728634224141285,0.790796160361378,0.579241991038875,0.767080745341615,0.498482663152395,0.214988808597519,46.046511627907,215,0,0,0.531063513051197,0.76984126984127,0.512042896627302,0.139745751030212,51.3888888888889,72,0.727762844755854,0.794483768611179,0.580642488646473,0.768489138393947,0.507014487264231,0.157154269086042,53.6796536796537,231,0.412421994346326,0.159256907790511,26.4069264069264,231,0.704620085170039,0.791798877227239,0.569061635645159,0.767268733219429,0.501022404510007,0.150803750486933,53.448275862069,232,0.39095690972735,0.128988819575531,17.2413793103448,232
"7","wantedToFeel_excited",0.100082987551867,0.129890953307139,241,50,0.170591046788099,0.303153248599005,0.770686772527593,0.913890457368718,0.629557008056708,0.904856013551666,0.530803923418907,0.263974298057307,53.5714285714286,140,0.771719268697194,0.907679277244495,0.623822861340816,0.902032749858837,0.500001239250412,0.25749286928682,46.2068965517241,145,0.771719268697194,0.907679277244495,0.619538480808231,0.902032749858837,0.497216830016873,0.267610415751525,43.448275862069,145,0,0,0.62380833435304,0.91156462585034,0.507716634250542,0.216371139509325,52.4590163934426,61,0.780781792497787,0.908957773980962,0.633408843352168,0.903954112765438,0.501753641481329,0.200613927408342,52.6946107784431,167,0.380598329400857,0.17647337765537,21.5568862275449,167,0.740916636161809,0.905296558457408,0.60648717526658,0.897730046375397,0.479014674270103,0.191091296401598,44.1988950276243,181,0.359662119962998,0.173452315599162,14.9171270718232,181
"8","wantedToFeel_competent",0.148796680497925,0.14916086167491,241,50,0.15871045638004,0.303153248599005,0.744902030740991,0.850931677018634,0.539971545924903,0.850931677018634,0.481730844659535,0.253823438560736,45.0867052023121,173,0.759414941577817,0.852907961603614,0.603344828761499,0.849237718802936,0.576184357888617,0.220952500630459,62.2754491017964,167,0.759414941577817,0.852907961603614,0.602567415573672,0.84867306606437,0.505336897988105,0.232933515777417,44.9101796407186,167,0,0,0.558835312979468,0.864795918367347,0.534259769283976,0.173738826335546,53.8461538461538,65,0.751076398818034,0.858432999755919,0.587127835763987,0.852575054918233,0.509667260762917,0.185346512589398,53.8860103626943,193,0.390156606255594,0.149857693047002,19.6891191709845,193,0.741705302153639,0.856724432511594,0.572550406963625,0.851110568708811,0.494276478669662,0.170291819682645,46.1538461538462,195,0.375977226325566,0.142604024071473,18.4615384615385,195
"9","wantedToFeel_acknowledged",0.0741078838174274,0.113314334100265,241,50,0.170393316934539,0.303153248599005,0.82884826087214,0.933370976849238,0.628895048238367,0.927442123094297,0.489867524759015,0.256313109934316,47.5728155339806,103,0.812270700423396,0.932241671372106,0.658843539858612,0.928853754940711,0.537986813157311,0.260261249230671,56.6037735849057,106,0.812270700423396,0.932241671372106,0.686627105006035,0.92772444946358,0.544501730833347,0.258565426187118,53.7735849056604,106,0,0,0.612119527069527,0.95266439909297,0.55265744939061,0.22528863145392,63.4146341463415,41,0.79159942327418,0.935440566268001,0.642004053411819,0.930680986087381,0.515958068969816,0.224457731074584,47.7611940298507,134,0.389437506261114,0.20256756393871,30.5970149253731,134,0.769986629673668,0.928362216255797,0.612090474303078,0.923968757627532,0.497922530581967,0.226436551763281,48.9655172413793,145,0.379890407153108,0.174442886526135,24.1379310344828,145
"10","wantedToFeel_alert",0.0775103734439834,0.0948882286356425,241,50,0.108017099229157,0.303153248599005,0.770520888808581,0.929418407679277,0.534941679663725,0.927442123094297,0.488745437603551,0.25806604985279,49.1525423728814,118,0.736217732505846,0.924336533032185,0.545300975894945,0.923489553924337,0.495837063869631,0.269261609412906,42.5196850393701,127,0.736217732505846,0.924336533032185,0.59881779546681,0.924336533032185,0.487898118742991,0.234075556403934,45.6692913385827,127,0,0,0.495517571252639,0.920634920634921,0.476031053118464,0.188833147599797,39.6551724137931,58,0.734432365069282,0.92994874298267,0.560327865763719,0.9286062972907,0.528948011255097,0.224853024353307,56.0975609756098,164,0.384440144228988,0.213641519497832,24.390243902439,164,0.691667610989399,0.923846717110081,0.514474893606306,0.922992433487918,0.478395995559824,0.209623783401791,44,175,0.349857104368019,0.172255938101571,16.5714285714286,175
