"n_features....n_features","n_samples....n_samples","n_subjects....n_subjects","feature_std","A","B","C","overall_prob_outcome","sd_outcome","time_effect","mean","sd","icc","icc_pred","auc_value_base","auc","auc_individual","auc_individual_sd","total_n","sd_intercept","sd_residual"
10,90,150,0.1,0,0.1,0.1,0.1,0.05,FALSE,0.0928148148148148,0.0577298124006609,0.02877929692534,0.490115715132912,0.617674814814311,0.499588703043597,0.499543209876543,0.00304185581521628,135,0.0984299339439977,0.100395371946468
10,90,150,0.1,0,0.1,0.1,0.2,0.05,FALSE,0.201851851851852,0.0692444298301439,0.0188538788095031,0.491568684445186,0.57216522492459,0.499540018399264,0.499474326104761,0.003742868537114,148,0.0981237889975687,0.099792603193165
10,90,150,0.1,0,0.1,0.1,0.13,0.05,FALSE,0.121407407407407,0.0568324061667103,0.0193783369154436,0.509488822310536,0.584182747290649,0.5,0.5,0,142,0.102212268777692,0.100290582167776
10,90,150,0.1,0,0.1,0.1,0.11,0.05,FALSE,0.10362962962963,0.0561341483953281,0.023059546241026,0.481209846473748,0.623370532809245,0.5,0.5,0,134,0.0964374483412643,0.100132329660732
10,90,150,0.1,0,0.1,0.1,0.15,0.05,FALSE,0.158444444444444,0.0614734697947592,0.0174181132128673,0.494255857629485,0.570349604924073,0.5,0.5,0,146,0.0986039087433881,0.0997432808341311
10,90,150,0.1,0,0.1,0.1,0.17,0.05,FALSE,0.167111111111111,0.0650420999820277,0.0194939514861519,0.473476283082193,0.594543291520146,0.5,0.5,0,147,0.0948260072818087,0.0999970801537463
10,90,150,0.1,0,0.1,0.1,0.22,0.05,FALSE,0.226074074074074,0.0607761365981251,0.0101095980681573,0.4748413730962,0.540922560900728,0.5,0.5,0,150,0.0945780940137101,0.0994629952726526
10,90,150,0.1,0,0.1,0.1,0.14,0.05,FALSE,0.138592592592593,0.0608266944871107,0.0200970883363404,0.474229394951265,0.581882433517272,0.5,0.5,0,144,0.0952963494948769,0.100341405585058
10,90,150,0.1,0,0.1,0.1,0.16,0.05,FALSE,0.157333333333333,0.062338763768817,0.0183992169937447,0.505943821055013,0.577560406578363,0.5,0.5,0,147,0.101889091703431,0.100684985099137
10,90,150,0.1,0,0.1,0.1,0.18,0.05,FALSE,0.189925925925926,0.0702769242318372,0.0212186311505075,0.498887363150275,0.578223964940606,0.500549375661819,0.500366129676475,0.00604938094192116,148,0.100560636165702,0.100784660639781
10,90,150,0.1,0,0.1,0.1,0.12,0.05,FALSE,0.11637037037037,0.0627839862393893,0.0275189451918832,0.471235778525923,0.616570328141955,0.499721835883171,0.499579831932773,0.0049714956160501,140,0.0941648449562137,0.0997471964169347
10,90,150,0.1,0,0.1,0.1,0.19,0.05,FALSE,0.190814814814815,0.0625598947963636,0.0143918338281038,0.543364199619872,0.568521700575264,0.49984704802692,0.499831081081081,0.00205498734131696,148,0.108639349657732,0.099592497952488
10,90,150,0.1,0,0.1,0.1,0.21,0.05,FALSE,0.204888888888889,0.0685113902144206,0.0178945777616955,0.469623783606,0.559976408982391,0.499535459894704,0.499299249901303,0.00514445736158947,149,0.0945296207694589,0.10045808484615
10,90,150,0.1,0,0.1,0.1,0.23,0.05,FALSE,0.21762962962963,0.0632637170754018,0.0125304968211458,0.545302014706377,0.542782536764706,0.500551470588235,0.500228289889223,0.00715579061810143,149,0.109779126027455,0.100245002908942
