"","outcome","overall_prob_outcome","sd_outcome","num_subjects","num_samples","icc_data","icc_pred","shuffle_AUC random intercept only:","shuffle_Accuracy random intercept only:","shuffle_AUC:","shuffle_Accuracy:","shuffle_Mean AUC within-person:","shuffle_SD AUC within-person:","shuffle_% of AUC > 0.5 within-person:","shuffle_N included within-person:","real_AUC random intercept only:","real_Accuracy random intercept only:","real_AUC:","real_Accuracy:","real_Mean AUC within-person:","real_SD AUC within-person:","real_% of AUC > 0.5 within-person:","real_N included within-person:","centered_AUC random intercept only:","centered_Accuracy random intercept only:","centered_AUC:","centered_Accuracy:","centered_Mean AUC within-person:","centered_SD AUC within-person:","centered_% of AUC > 0.5 within-person:","centered_N included within-person:","subjectwise_AUC random intercept only:","subjectwise_Accuracy random intercept only:","subjectwise_AUC:","subjectwise_Accuracy:","subjectwise_Mean AUC within-person:","subjectwise_SD AUC within-person:","subjectwise_% of AUC > 0.5 within-person:","subjectwise_N included within-person:","movingwindow_AUC random intercept only:","movingwindow_Accuracy random intercept only:","movingwindow_AUC:","movingwindow_Accuracy:","movingwindow_Mean AUC within-person:","movingwindow_SD AUC within-person:","movingwindow_% of AUC > 0.5 within-person:","movingwindow_N included within-person:","movingwindow_Mean AUC random intercept only:","movingwindow_SD AUC within-person base:","movingwindow_% of AUC > 0.5 within-person base:","movingwindow_N included within-person base:","movingwindowshuffle_AUC random intercept only:","movingwindowshuffle_Accuracy random intercept only:","movingwindowshuffle_AUC:","movingwindowshuffle_Accuracy:","movingwindowshuffle_Mean AUC within-person:","movingwindowshuffle_SD AUC within-person:","movingwindowshuffle_% of AUC > 0.5 within-person:","movingwindowshuffle_N included within-person:","movingwindowshuffle_Mean AUC random intercept only:","movingwindowshuffle_SD AUC within-person base:","movingwindowshuffle_% of AUC > 0.5 within-person base:","movingwindowshuffle_N included within-person base:"
"1","wantedToFeel_pleasant",0.19,0.199255925825578,20,150,0.249691435494323,0.483121626681896,0.794835530630985,0.82662192393736,0.686438246097338,0.815436241610738,0.485184182565755,0.182235543777506,55.5555555555556,18,0.782519078031959,0.834451901565996,0.663033990441539,0.825503355704698,0.48617571933698,0.120895034393252,25,20,0.782519078031959,0.834451901565996,0.711509044240293,0.837807606263982,0.485416303283156,0.206248351383416,50,20,0,0,0.444340524587439,0.806487695749441,0.426868482163291,0.0704186588303608,16.6666666666667,6,0.800205276561141,0.836940298507463,0.65853071637202,0.807835820895522,0.539832921614899,0.125284333552464,52.6315789473684,19,0.5695111233278,0.141172520469554,63.1578947368421,19,0.776230079331089,0.827611940298507,0.667278825896253,0.80410447761194,0.536785487098109,0.111249104545474,55,20,0.471446668414587,0.0738050806661936,45,20
"2","wantedToFeel_control",0.145,0.13947059469159,20,150,0.150015067948312,0.483121626681896,0.785992889441165,0.885906040268456,0.711907309608459,0.875838926174497,0.583579000286188,0.175791841778742,72.2222222222222,18,0.734303606396867,0.871364653243848,0.662221564947781,0.859060402684564,0.514881155589687,0.101403452012101,61.1111111111111,18,0.734303606396867,0.871364653243848,0.712212385770235,0.861297539149888,0.551150681462466,0.187273150826922,66.6666666666667,18,0,0,0.554646346135428,0.874720357941834,0.543723488666813,0.0642347259811043,83.3333333333333,6,0.770661850923464,0.870522388059702,0.67244811513159,0.856716417910448,0.602172807950714,0.157265010543922,70,20,0.620612057755826,0.169517478464774,75,20,0.695794187680514,0.86044776119403,0.629761852441596,0.846268656716418,0.521192874747931,0.124830081095548,50,20,0.4429747010894,0.117460508436362,35,20
"3","wantedToFeel_goodAboutMe",0.138666666666667,0.203255377636144,20,150,0.33558249208933,0.483121626681896,0.844981213097155,0.879194630872483,0.735353535353536,0.857941834451902,0.501849168228939,0.177532076251854,56.25,16,0.845011920926304,0.888143176733781,0.753584296451519,0.871364653243848,0.505094493720738,0.188374046542182,52.9411764705882,17,0.845011920926304,0.888143176733781,0.814744528669025,0.879194630872483,0.586141289601978,0.14296574821023,70.5882352941177,17,0,0,0.51030439349653,0.868008948545861,0.50379999125805,0.105010072662676,50,6,0.834236886405591,0.895522388059702,0.716118232334477,0.863805970149254,0.56331878297346,0.179511488548558,52.6315789473684,19,0.530839882190474,0.164424346169464,57.8947368421053,19,0.823052154678648,0.888432835820895,0.702604924553853,0.860820895522388,0.478018905409171,0.120757855277593,25,20,0.471040514932435,0.123709767079444,30,20
"4","wantedToFeel_connected",0.103666666666667,0.10023306174445,20,150,0.101550839927035,0.483121626681896,0.760808270676692,0.89261744966443,0.619445749791145,0.89261744966443,0.498391351707374,0.216793362320248,43.75,16,0.75172063775005,0.885906040268456,0.622648049118638,0.885906040268456,0.51378473483325,0.160460180298207,47.0588235294118,17,0.75172063775005,0.885906040268456,0.677312339077045,0.88255033557047,0.508703111191261,0.198752660654517,58.8235294117647,17,0,0,0.479836849044166,0.917225950782998,0.564046512655668,0.0648392195387005,80,5,0.731640748656261,0.91044776119403,0.61151441988325,0.901119402985075,0.560262651205549,0.140369806138451,66.6666666666667,18,0.538784098462644,0.185849080908802,66.6666666666667,18,0.693804315476191,0.895522388059702,0.600486607142858,0.889179104477612,0.487216437860477,0.176405524956881,42.1052631578947,19,0.408041381371206,0.16536299464495,26.3157894736842,19
"5","wantedToFeel_comfort",0.211,0.199827703562622,20,150,0.23189360237417,0.483121626681896,0.794048731239829,0.813199105145414,0.692012988969924,0.795302013422819,0.477365306747389,0.143374619570266,36.8421052631579,19,0.800455182072829,0.819910514541387,0.694981325863679,0.809843400447427,0.521948156524784,0.123266383925497,55.5555555555556,18,0.800455182072829,0.819910514541387,0.733819638966698,0.817673378076063,0.479022961883336,0.185167552310119,66.6666666666667,18,0,0,0.497935237464927,0.751677852348993,0.491656715931943,0.0595989026612537,33.3333333333333,6,0.803353823570281,0.823134328358209,0.684708787728703,0.792537313432836,0.563470049939344,0.10285041985524,75,20,0.564295873113753,0.0851282919118284,70,20,0.766101960784316,0.814179104477612,0.648170005299417,0.783208955223881,0.477792230946287,0.0996965501990755,35,20,0.482237621871221,0.075098067983119,25,20
"6","wantedToFeel_calm",0.164666666666667,0.1439801805724,20,150,0.143874598404589,0.483121626681896,0.721034943142581,0.853467561521253,0.616882279821371,0.834451901565996,0.456368662274484,0.149655521682007,40,20,0.697012795417948,0.851230425055928,0.637948490487808,0.848993288590604,0.519608480259948,0.184378996567392,65,20,0.697012795417948,0.851230425055928,0.666663452545101,0.844519015659955,0.505729716515398,0.186738093691332,45,20,0,0,0.517186870720902,0.844519015659955,0.490549183859236,0.0790698020896909,66.6666666666667,6,0.729899036517534,0.852611940298508,0.621204514199646,0.83134328358209,0.528919265266463,0.0803334756712706,60,20,0.55785010394182,0.110151276559461,65,20,0.681454939162713,0.845522388059701,0.621744325694806,0.830223880597015,0.501851505842556,0.0697338111462314,50,20,0.455391351921955,0.0573288078514879,25,20
"7","wantedToFeel_excited",0.074,0.0771388965226049,20,150,0.0803303349176677,0.483121626681896,0.725015371102328,0.922818791946309,0.651971892841458,0.922818791946309,0.599292590095063,0.219277799336821,68.421052631579,19,0.700341308461746,0.919463087248322,0.608703365774534,0.919463087248322,0.475910045302921,0.22272587474029,50,18,0.700341308461746,0.919463087248322,0.683182954852663,0.91834451901566,0.585161541499287,0.175000954385796,66.6666666666667,18,0,0,0.551497277676951,0.932885906040268,0.61219644409798,0.132682913460552,83.3333333333333,6,0.704412386387656,0.928731343283582,0.652319805537941,0.928731343283582,0.543705698342238,0.145000012002589,68.421052631579,19,0.495403640410024,0.156874978930419,52.6315789473684,19,0.692468283759382,0.923507462686567,0.601559282840762,0.921268656716418,0.52523579708922,0.131300039678621,50,20,0.539953211508267,0.12008449981625,50,20
"8","wantedToFeel_competent",0.114,0.114307474954219,20,150,0.122683073540399,0.483121626681896,0.741538765562216,0.893736017897092,0.603734931822673,0.890380313199105,0.47136503468531,0.177140346018019,41.1764705882353,17,0.782790006617307,0.887024608501119,0.709219282583997,0.88255033557047,0.619364169651105,0.146502524699117,76.4705882352941,17,0.782790006617307,0.887024608501119,0.682662654663953,0.890380313199105,0.475832347985044,0.18537939389532,41.1764705882353,17,0,0,0.550235890267343,0.866890380313199,0.58250897236589,0.0567550622724119,100,6,0.754687736223613,0.887686567164179,0.655392221275562,0.884701492537313,0.618241069502252,0.179718885251903,73.6842105263158,19,0.579764575085748,0.174641596196999,57.8947368421053,19,0.727105027168907,0.883582089552239,0.622706407930782,0.877985074626866,0.531901726828642,0.147376278083148,60,20,0.522923865295722,0.111395063402289,70,20
"9","wantedToFeel_acknowledged",0.0543333333333333,0.0856833556001431,20,150,0.136112793487327,0.483121626681896,0.867543515246695,0.949664429530201,0.757112943332024,0.949664429530201,0.552493166380092,0.189038756083193,72.7272727272727,11,0.831611464315012,0.948545861297539,0.756434577522559,0.948545861297539,0.574571049775055,0.242218712122978,75,12,0.831611464315012,0.948545861297539,0.763202420016408,0.948545861297539,0.465981674784076,0.291308406731309,50,12,0,0,0.592559241706161,0.94407158836689,0.678033923376389,0.171433172817318,80,5,0.838293189165362,0.951119402985075,0.759707459835423,0.949253731343284,0.677503864001762,0.13721946316572,86.6666666666667,15,0.633846106678809,0.193120686213148,66.6666666666667,15,0.778307377777307,0.944402985074627,0.698054195094917,0.941044776119403,0.502494406170225,0.17467925960641,47.0588235294118,17,0.435241030178331,0.244716246974052,41.1764705882353,17
"10","wantedToFeel_alert",0.081,0.103421580880457,20,150,0.136909545185134,0.483121626681896,0.824474184108295,0.920581655480984,0.690200742730991,0.923937360178971,0.413381844110026,0.193299450495181,50,14,0.770470383275261,0.9082774049217,0.644509191397333,0.9082774049217,0.508801624029792,0.219009260918283,53.3333333333333,15,0.770470383275261,0.9082774049217,0.735439444911691,0.910514541387025,0.507378923215962,0.20695984444139,60,15,0,0,0.59323753169907,0.945190156599553,0.556284080474673,0.149981431066022,83.3333333333333,6,0.803444439165004,0.929850746268657,0.707604770502709,0.922388059701493,0.559337710951691,0.142402981909193,93.3333333333333,15,0.538378729590671,0.187486503452828,66.6666666666667,15,0.737944815839424,0.917537313432836,0.606755801461708,0.916044776119403,0.453373290406892,0.176532071329723,38.8888888888889,18,0.481686430532202,0.154486552285149,38.8888888888889,18
