"","outcome","overall_prob_outcome","sd_outcome","num_subjects","num_samples","icc_data","icc_pred","shuffle_AUC random intercept only:","shuffle_Accuracy random intercept only:","shuffle_AUC:","shuffle_Accuracy:","shuffle_Mean AUC within-person:","shuffle_SD AUC within-person:","shuffle_% of AUC > 0.5 within-person:","shuffle_N included within-person:","real_AUC random intercept only:","real_Accuracy random intercept only:","real_AUC:","real_Accuracy:","real_Mean AUC within-person:","real_SD AUC within-person:","real_% of AUC > 0.5 within-person:","real_N included within-person:","centered_AUC random intercept only:","centered_Accuracy random intercept only:","centered_AUC:","centered_Accuracy:","centered_Mean AUC within-person:","centered_SD AUC within-person:","centered_% of AUC > 0.5 within-person:","centered_N included within-person:","subjectwise_AUC random intercept only:","subjectwise_Accuracy random intercept only:","subjectwise_AUC:","subjectwise_Accuracy:","subjectwise_Mean AUC within-person:","subjectwise_SD AUC within-person:","subjectwise_% of AUC > 0.5 within-person:","subjectwise_N included within-person:","movingwindow_AUC random intercept only:","movingwindow_Accuracy random intercept only:","movingwindow_AUC:","movingwindow_Accuracy:","movingwindow_Mean AUC within-person:","movingwindow_SD AUC within-person:","movingwindow_% of AUC > 0.5 within-person:","movingwindow_N included within-person:","movingwindow_Mean AUC random intercept only:","movingwindow_SD AUC within-person base:","movingwindow_% of AUC > 0.5 within-person base:","movingwindow_N included within-person base:","movingwindowshuffle_AUC random intercept only:","movingwindowshuffle_Accuracy random intercept only:","movingwindowshuffle_AUC:","movingwindowshuffle_Accuracy:","movingwindowshuffle_Mean AUC within-person:","movingwindowshuffle_SD AUC within-person:","movingwindowshuffle_% of AUC > 0.5 within-person:","movingwindowshuffle_N included within-person:","movingwindowshuffle_Mean AUC random intercept only:","movingwindowshuffle_SD AUC within-person base:","movingwindowshuffle_% of AUC > 0.5 within-person base:","movingwindowshuffle_N included within-person base:"
"1","wantedToFeel_pleasant",0.251166666666667,0.215234257575598,100,60,0.232916480961138,0.337881052354285,0.759740102708314,0.80225988700565,0.598235337809477,0.764406779661017,0.502510304807974,0.195298830854178,50,86,0.746075248789314,0.8,0.615048212854129,0.764406779661017,0.527473631144637,0.197841520305146,52.8735632183908,87,0.746075248789314,0.8,0.653817630609025,0.769491525423729,0.509859524247239,0.204604709119891,49.4252873563218,87,0,0,0.53756827419443,0.789830508474576,0.503008410740846,0.128495570345069,43.3333333333333,30,0.762266285404996,0.807045454545455,0.621291985111849,0.756818181818182,0.50577707231249,0.142419811739503,57.4468085106383,94,0.451216668501014,0.122606914388831,29.7872340425532,94,0.737609531704159,0.7925,0.580925453445314,0.746136363636364,0.482325583974274,0.134995150866437,48.4536082474227,97,0.385843392490816,0.115384120169609,15.4639175257732,97
"2","wantedToFeel_control",0.195666666666667,0.182645173106927,100,60,0.198152368478964,0.337881052354285,0.776341762044184,0.833898305084746,0.629159435719989,0.815819209039548,0.504148149553766,0.21911863017086,56.25,80,0.775387201664291,0.827683615819209,0.641236465346372,0.809604519774011,0.538608338530853,0.19849403626708,48.7179487179487,78,0.775387201664291,0.827683615819209,0.620395965403706,0.812994350282486,0.474135225732068,0.240314606189653,55.1282051282051,78,0,0,0.604382599190301,0.817514124293785,0.526012979103606,0.156754180843002,60.7142857142857,28,0.75988505378799,0.829772727272727,0.637447610616869,0.804090909090909,0.517929558897173,0.162410537451197,54.0229885057471,87,0.42129016155042,0.151067467256459,28.735632183908,87,0.735807348551042,0.819772727272727,0.614914887973538,0.801590909090909,0.515027268922184,0.168726737024996,52.6881720430108,93,0.409100919846326,0.109734397355072,19.3548387096774,93
"3","wantedToFeel_goodAboutMe",0.187,0.21581131343805,100,60,0.293640573217315,0.337881052354285,0.809639810982455,0.849717514124294,0.637035625115203,0.815254237288136,0.489422600077445,0.245749335728784,53.4246575342466,73,0.818552242883732,0.854802259887006,0.651705214896778,0.819209039548023,0.5294196185014,0.210951512002081,47.887323943662,71,0.818552242883732,0.854802259887006,0.704884056486177,0.834463276836158,0.517860866703345,0.209909293156023,50.7042253521127,71,0,0,0.553317515607383,0.836723163841808,0.520564851984759,0.196310673880885,55.1724137931034,29,0.809732730983018,0.856590909090909,0.647927164029674,0.819318181818182,0.535509886004408,0.189165796726756,57.3033707865169,89,0.443501014786464,0.152036893121871,26.9662921348315,89,0.801974184610991,0.851136363636364,0.654542062759828,0.813409090909091,0.524550914830416,0.169809894923579,52.8735632183908,87,0.406160933784399,0.137617915804328,20.6896551724138,87
"4","wantedToFeel_connected",0.1525,0.164282185168193,100,60,0.19496730728931,0.337881052354285,0.76484475659717,0.868361581920904,0.588545189421897,0.857627118644068,0.486338768288801,0.229121698076726,46.0526315789474,76,0.770159210526316,0.871751412429378,0.64993552631579,0.866101694915254,0.569698224281833,0.228203209807497,60.5633802816901,71,0.770159210526316,0.871751412429378,0.668523684210527,0.861016949152542,0.530465634148059,0.241359536650785,53.5211267605634,71,0,0,0.577784697996974,0.884745762711864,0.510158752006878,0.169196014987536,57.1428571428571,28,0.752580375647696,0.870454545454545,0.634833799294352,0.857272727272727,0.530805138493647,0.186540949322841,56.1797752808989,89,0.430619954867317,0.169511877164591,37.0786516853933,89,0.740057269351671,0.863863636363636,0.611502667026506,0.848863636363636,0.496608784481969,0.190127052637907,48.314606741573,89,0.398962487581552,0.148992717552414,25.8426966292135,89
"5","wantedToFeel_comfort",0.280333333333333,0.186728284683349,100,60,0.158504906561471,0.337881052354285,0.700741305307072,0.742372881355932,0.589679489750893,0.715819209039548,0.515243478217382,0.198244813853103,53.763440860215,93,0.73103755563433,0.757627118644068,0.622468555936297,0.738418079096045,0.552533983939202,0.196527523062925,60.6741573033708,89,0.73103755563433,0.757627118644068,0.639492824976696,0.742372881355932,0.532182350542196,0.196270836183947,53.9325842696629,89,0,0,0.556383579645358,0.735028248587571,0.54587349363298,0.0849892481803564,73.3333333333333,30,0.71929808355266,0.747727272727273,0.591068134505161,0.707954545454546,0.493347949357816,0.13074868301927,46.9387755102041,98,0.431985657174414,0.130342544479468,30.6122448979592,98,0.694842340836962,0.743409090909091,0.577244526187665,0.705,0.492028143868827,0.124780273778849,51.5151515151515,99,0.420854770064721,0.0980115604314669,24.2424242424242,99
"6","wantedToFeel_calm",0.258833333333333,0.207132295595805,100,60,0.209979138019215,0.337881052354285,0.76732665063659,0.788700564971751,0.610851124121508,0.736158192090395,0.507924661245443,0.19151212125202,60,85,0.753493097492067,0.787005649717514,0.629737523934497,0.73954802259887,0.496479557335024,0.199765735305371,52.8735632183908,87,0.753493097492067,0.787005649717514,0.653436859794062,0.757062146892655,0.515400964938081,0.213910614052184,49.4252873563218,87,0,0,0.554282639885222,0.754802259887006,0.542861462635514,0.125246542766543,62.0689655172414,29,0.757753444985532,0.781136363636364,0.63348043170456,0.737045454545455,0.525018984497776,0.150688564727316,62.5,96,0.45828541587097,0.12487129708931,36.4583333333333,96,0.738966871166307,0.780681818181818,0.600011832785224,0.729772727272727,0.499282309301698,0.119434918887814,45.8333333333333,96,0.409631669033641,0.121849823450412,22.9166666666667,96
"7","wantedToFeel_excited",0.127166666666667,0.160100540100639,100,60,0.217354178658389,0.337881052354285,0.806114467426673,0.884745762711864,0.612703938835415,0.875141242937853,0.469240863736256,0.220705402698899,44.6153846153846,65,0.768477365756776,0.894915254237288,0.616952672754135,0.88361581920904,0.46334760057727,0.217219027272733,45.7142857142857,70,0.768477365756776,0.894915254237288,0.664282946205827,0.883050847457627,0.485038160175649,0.257551203967927,51.4285714285714,70,0,0,0.572608814506576,0.903389830508475,0.525292453713539,0.16915255697731,68,25,0.795015592016888,0.890909090909091,0.652941613893686,0.880681818181818,0.492301412159195,0.191753244403658,45.2054794520548,73,0.443701890810945,0.165889337215935,38.3561643835616,73,0.77903390543328,0.888636363636364,0.625299063535836,0.877727272727273,0.47828728238318,0.158081372348789,40.5063291139241,79,0.410671632395328,0.166487294378191,25.3164556962025,79
"8","wantedToFeel_competent",0.165666666666667,0.162883321524877,100,60,0.177875966975911,0.337881052354285,0.754983403851765,0.840677966101695,0.617160143711701,0.833333333333333,0.518734770407359,0.23027596607739,51.9480519480519,77,0.76987468429106,0.845762711864407,0.628181286064562,0.83728813559322,0.525882909855404,0.200090807880121,56.578947368421,76,0.76987468429106,0.845762711864407,0.637025745257452,0.83728813559322,0.472979889184777,0.235383291225433,42.1052631578947,76,0,0,0.550616474957744,0.83954802259887,0.566932607426944,0.160426450636017,53.5714285714286,28,0.754583201301657,0.843181818181818,0.620902923687348,0.831363636363636,0.538986120979599,0.168489409703189,56.4705882352941,85,0.433195562754359,0.160045433984263,30.5882352941176,85,0.737900458138617,0.840909090909091,0.590863669332256,0.831590909090909,0.492039047519338,0.158117207715935,54.0229885057471,87,0.396951288146709,0.128714376126791,21.8390804597701,87
"9","wantedToFeel_acknowledged",0.0821666666666667,0.125713563755998,100,60,0.195715286293298,0.337881052354285,0.810386523787683,0.940677966101695,0.674558541466873,0.933898305084746,0.554643971874318,0.238333736139626,61.9047619047619,42,0.82302027403691,0.924293785310734,0.641490730611406,0.91864406779661,0.516634497677687,0.230278872051324,52,50,0.82302027403691,0.924293785310734,0.70679978707441,0.91864406779661,0.472681202687149,0.26237976630495,40,50,0,0,0.55712819756894,0.938418079096045,0.503853591755671,0.231980913260563,47.3684210526316,19,0.806097308643187,0.929318181818182,0.649765605724156,0.923863636363636,0.498052527748138,0.197382820761974,46.031746031746,63,0.456670038247154,0.179189093031878,41.2698412698413,63,0.775683622080834,0.925,0.652346683547325,0.918409090909091,0.514546807466148,0.219191770664655,48.5294117647059,68,0.377069771107071,0.171634995252716,20.5882352941176,68
"10","wantedToFeel_alert",0.0866666666666667,0.106915744542029,100,60,0.129698297144607,0.337881052354285,0.704002122015916,0.917514124293785,0.528027586206896,0.918079096045198,0.482521739469297,0.253566393419133,46.6666666666667,60,0.718670026292725,0.924858757062147,0.599351446099912,0.922598870056497,0.544159740111579,0.256725502399543,58.0645161290323,62,0.718670026292725,0.924858757062147,0.620633216476775,0.92090395480226,0.505853245868068,0.22718404850686,56.4516129032258,62,0,0,0.536541422985085,0.919774011299435,0.549810034120774,0.199012221477501,65.2173913043478,23,0.756741657067979,0.921818181818182,0.586163137037566,0.918181818181818,0.490878317982521,0.231362525706037,52.0547945205479,73,0.440342160182005,0.212250543183174,46.5753424657534,73,0.69734199462228,0.911136363636364,0.53755724281598,0.910227272727273,0.485855126393706,0.190105390805293,42.6829268292683,82,0.398294865713882,0.17161202828824,23.1707317073171,82
